k=1.7852e-06	k=2.0625e-06	k=2.2118e-06
t(s), normal distribution	t(s), normal distribution	t(s), normal distribution
11797258974.2878	34346367032.0341	26472453991.3717
10434317912.5528	15806077031.5034	15576550477.5277
9844857179.4829	14272881106.1396	12754900349.7759
11615987176.7976	7362509552.9628	9072199019.9021
4919641015.8027	7065033562.746	10534043889.828
10421020457.5525	12636011338.43	14964123498.0427
18208411776.3906	30239455917.3894	25101736564.4245
8192743040.4006	17411772799.6724	26346469290.7849
14039256978.2102	23723555610.7529	23057723715.7284
2699374450.3782	3761394451.2073	6011484503.5978
15817789208.5014	16320182444.7449	19090968167.3675
6223835495.2067	8811006300.2415	10243343740.4171
11364905102.0929	10712092103.8114	13905705217.6022
6454369482.507	10814534640.24	16795334764.2793
14894995158.1823	19539631568.9079	27847725604.2686
15458203470.1303	24063068299.0169	28980643826.045
20206047854.4673	18383135849.3481	22029450874.5879
10123627077.0704	14011284198.3752	11254571282.177
15952188558.6244	15731019918.2435	16432323969.1119
10612449727.0706	14009581218.8844	19481117251.7696
3388893660.7043	8132973003.3402	7293526510.6753
7484614521.2472	11707907362.4198	9035799754.3741
12861579678.4984	8869787179.9391	11231497371.2436
4352648783.2461	7209958632.1105	9272295927.6557
17484217328.1969	15968847666.2722	23139427101.0812
8152326790.242	8696149856.1305	13124175561.0955
10289266007.7005	7954990849.8835	11287228677.0247
6685368437.8339	13623309649.426	17941450540.4231
9054940971.5849	8310303151.3949	13400992041.7029
11967057211.7342	25905771449.4671	28864691532.8851
